Project,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District,Street,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth
SIXTEEN35 RESIDENCES,100.0,60,60,14,LORONG 35 GEYLANG,14.0,14.0,14.0,RCR,0
WATERCOVE,94.59,74,70,27,WAK HASSAN DRIVE,27.0,27.0,27.0,OCR,1
RIVERCOVE RESIDENCES,98.73,628,620,19,ANCHORVALE LANE,19.0,19.0,19.0,OCR,1
120 GRANGE,90.0,50,45,10,GRANGE ROAD,10.0,10.0,10.0,CCR,0
JUI RESIDENCES,42.74,117,50,12,SERANGOON ROAD,12.0,12.0,12.0,RCR,3
ONE DRAYCOTT,4.69,64,3,10,DRAYCOTT PARK,10.0,10.0,10.0,CCR,0
HARBOUR VIEW GARDENS,98.25,57,56,5,PASIR PANJANG ROAD,5.0,5.0,5.0,RCR,0
38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0
THE TAPESTRY,87.43,700,612,18,TAMPINES STREET 86,18.0,18.0,18.0,OCR,30
MARINA ONE RESIDENCES,85.39,671,573,1,MARINA WAY,1.0,1.0,1.0,CCR,10
AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0
JADESCAPE,80.21,480,385,20,SHUNFU ROAD,20.0,20.0,20.0,RCR,11
THE ENCLAVE . HOLLAND,100.0,10,10,10,HOLLAND ROAD,10.0,10.0,10.0,CCR,0
BOULEVARD 88,74.29,35,26,10,ORCHARD BOULEVARD,10.0,10.0,10.0,CCR,26
SEASUITES,96.15,52,50,5,PASIR PANJANG ROAD,5.0,5.0,5.0,RCR,0
KALLANG RIVERSIDE,93.87,212,199,12,KAMPONG BUGIS,12.0,12.0,12.0,RCR,0
STIRLING RESIDENCES,87.94,680,598,3,STIRLING ROAD,3.0,3.0,3.0,RCR,45
THE TRE VER,97.33,450,438,13,POTONG PASIR AVENUE 1,13.0,13.0,13.0,RCR,131
3 CUSCADEN,36.46,96,35,10,CUSCADEN WALK,10.0,10.0,10.0,CCR,6
PARKSUITES,34.0,50,17,10,HOLLAND GROVE ROAD,10.0,10.0,10.0,CCR,0
CASA AL MARE,22.45,49,11,17,JALAN LOYANG BESAR,17.0,17.0,17.0,OCR,0
BUKIT 828,52.94,17,9,23,UPPER BUKIT TIMAH ROAD,23.0,23.0,23.0,OCR,1
8 HULLET,79.55,44,35,9,HULLET ROAD,9.0,9.0,9.0,CCR,0
MONT BOTANIK RESIDENCE,11.11,54,6,23,JALAN REMAJA,23.0,23.0,23.0,OCR,0
MARGARET VILLE,85.11,188,160,3,MARGARET DRIVE,3.0,3.0,3.0,RCR,10
BIJOU,65.83,120,79,5,JALAN MAT JAMBOL,5.0,5.0,5.0,RCR,1
THE WOODLEIGH RESIDENCES,54.0,50,27,13,BIDADARI PARK DRIVE,13.0,13.0,13.0,RCR,0
THE OCTET,98.21,56,55,14,LORONG 24 GEYLANG,14.0,14.0,14.0,RCR,0
PARK COLONIAL,72.05,805,580,13,WOODLEIGH LANE,13.0,13.0,13.0,RCR,11
