,Project_x,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District_x,Street,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth,Postal,Latitude,Longitude,Project_y,District_y,Rent,PricePerSqft
141,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249034,1.2941930917953202,103.823247232673,JERVOIS LODGE,21.0,2200.0,2.0
142,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249003,1.2926143008836102,103.824039827245,JERVOIS MANSIONS,19.0,2650.0,2.21
143,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249063,1.29488940916723,103.816655765912,JERVOIS MEADOWS,15.0,2600.0,2.6
144,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,NIL,1.29469446566934,103.820835566971,JJ'S RESIDENCES @ JERVOIS,13.0,3200.0,2.67
145,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,247656,1.2938490755616798,103.821581749873,MON JERVOIS,4.0,5300.0,3.12
146,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,NIL,1.29469446566934,103.820835566971,JERVOIS GREEN,10.0,3600.0,3.27
147,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249047,1.29429553529137,103.82143115320999,DORMER PARK,3.0,5543.0,3.46
148,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249055,1.29473553604744,103.818989337771,CASA JERVOIS,12.0,1750.0,3.5
149,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249041,1.29319467137094,103.822688038962,SRI MENANTI ESTATE,11.0,3800.0,3.8
150,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249056,1.29489580072094,103.81856774498002,JERVOIS GROVE,3.0,3200.0,4.0
151,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,249081,1.29449097781881,103.822065328522,JERVOIS REGENCY,8.0,3100.0,4.43
152,38 JERVOIS,37.04,27,10,10,JERVOIS ROAD,10.0,10.0,10.0,CCR,0,NIL,1.29469446566934,103.820835566971,LOTUS AT JERVOIS,9.0,2700.0,6.75
153,THE RAMFORD,81.25,16,13,15,RAMBAI ROAD,15.0,15.0,15.0,RCR,6,424331,1.31157991353848,103.90555372088,SUNSHINE REGENCY,7.0,3900.0,3.55
154,FOREST WOODS,97.69,519,507,19,LORONG LEW LIAN,19.0,19.0,19.0,OCR,2,536471,1.3502902658959195,103.878022759102,CHERRYHILL,13.0,2200.0,3.67
155,ONE MEYER,15.15,66,10,15,MEYER PLACE,15.0,15.0,15.0,RCR,10,437997,1.29815062813169,103.88660777045999,MEYER MELODIA,10.0,7300.0,2.43
156,ONE MEYER,15.15,66,10,15,MEYER PLACE,15.0,15.0,15.0,RCR,10,NIL,1.29854037898019,103.886730782754,THE MEYER PLACE,13.0,3250.0,2.5
157,ONE MEYER,15.15,66,10,15,MEYER PLACE,15.0,15.0,15.0,RCR,10,437991,1.29858791034805,103.88619459663,MEYER RESIDENCE,4.0,4000.0,3.33
158,PARC ESTA,87.82,550,483,14,SIMS AVENUE,14.0,14.0,14.0,RCR,36,387516,1.31514448371949,103.88405028273199,SMART SUITES,17.0,2000.0,2.22
159,PARC ESTA,87.82,550,483,14,SIMS AVENUE,14.0,14.0,14.0,RCR,36,NIL,1.31580641871407,103.88647466663099,,,,
160,PARC ESTA,87.82,550,483,14,SIMS AVENUE,14.0,14.0,14.0,RCR,36,NIL,1.31580641871407,103.88647466663099,EUNOSVILLE,11.0,3200.0,4.0
161,PARC ESTA,87.82,550,483,14,SIMS AVENUE,14.0,14.0,14.0,RCR,36,387607,1.31629397762891,103.88657418395,CENTRA HEIGHTS,9.0,4400.0,4.4
162,PARC ESTA,87.82,550,483,14,SIMS AVENUE,14.0,14.0,14.0,RCR,36,387544,1.31574726076432,103.88718820315701,SUITES @ SIMS,9.0,8000.0,4.71
163,NYON,4.35,92,4,15,AMBER ROAD,15.0,15.0,15.0,RCR,4,439853,1.29962978981919,103.89811434438299,AMBER SKYE,19.0,6000.0,1.09
164,NYON,4.35,92,4,15,AMBER ROAD,15.0,15.0,15.0,RCR,4,439877,1.30073199142066,103.90087433261401,38 AMBER,28.0,3400.0,1.36
165,NYON,4.35,92,4,15,AMBER ROAD,15.0,15.0,15.0,RCR,4,439865,1.29953088366938,103.899817468941,AMBER POINT,5.0,6750.0,2.5
166,NYON,4.35,92,4,15,AMBER ROAD,15.0,15.0,15.0,RCR,4,439866,1.29965226936593,103.89882923197901,16 @ AMBER,10.0,2600.0,2.6
167,NYON,4.35,92,4,15,AMBER ROAD,15.0,15.0,15.0,RCR,4,439872,1.3004607928715,103.90119770229201,THE CAPE,9.0,2600.0,2.6
168,NYON,4.35,92,4,15,AMBER ROAD,15.0,15.0,15.0,RCR,4,439865,1.29953088366938,103.899817468941,SEAVIEW POINT,15.0,1850.0,3.08
169,NYON,4.35,92,4,15,AMBER ROAD,15.0,15.0,15.0,RCR,4,439871,1.30025152904748,103.900823288781,THE ARISTO @ AMBER,11.0,3750.0,3.13
170,NYON,4.35,92,4,15,AMBER ROAD,15.0,15.0,15.0,RCR,4,439949,1.30114224563473,103.90225515177299,THE SEA VIEW,4.0,6100.0,3.39
171,NYON,4.35,92,4,15,AMBER ROAD,15.0,15.0,15.0,RCR,4,439897,1.30336514480082,103.90197413029699,THE SHORE RESIDENCES,14.0,4200.0,3.5
172,NYON,4.35,92,4,15,AMBER ROAD,15.0,15.0,15.0,RCR,4,439897,1.30336514480082,103.90197413029699,AMBER RESIDENCES,15.0,1900.0,3.8
173,NYON,4.35,92,4,15,AMBER ROAD,15.0,15.0,15.0,RCR,4,439857,1.29905394548318,103.89941694356199,11 AMBER ROAD,5.0,3950.0,6.58
174,AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0,439853,1.29962978981919,103.89811434438299,AMBER SKYE,19.0,6000.0,1.09
175,AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0,439877,1.30073199142066,103.90087433261401,38 AMBER,28.0,3400.0,1.36
176,AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0,439865,1.29953088366938,103.899817468941,AMBER POINT,5.0,6750.0,2.5
177,AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0,439866,1.29965226936593,103.89882923197901,16 @ AMBER,10.0,2600.0,2.6
178,AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0,439872,1.3004607928715,103.90119770229201,THE CAPE,9.0,2600.0,2.6
179,AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0,439865,1.29953088366938,103.899817468941,SEAVIEW POINT,15.0,1850.0,3.08
180,AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0,439871,1.30025152904748,103.900823288781,THE ARISTO @ AMBER,11.0,3750.0,3.13
181,AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0,439949,1.30114224563473,103.90225515177299,THE SEA VIEW,4.0,6100.0,3.39
182,AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0,439897,1.30336514480082,103.90197413029699,THE SHORE RESIDENCES,14.0,4200.0,3.5
183,AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0,439897,1.30336514480082,103.90197413029699,AMBER RESIDENCES,15.0,1900.0,3.8
184,AMBER 45,82.5,120,99,15,AMBER ROAD,15.0,15.0,15.0,RCR,0,439857,1.29905394548318,103.89941694356199,11 AMBER ROAD,5.0,3950.0,6.58
185,ALIAS VILLAS,0.0,6,0,10,JALAN HAJI ALIAS,10.0,10.0,10.0,CCR,0,268535,1.32252784112809,103.79504457904899,CORONA VILLE,15.0,6500.0,3.1
186,ALIAS VILLAS,0.0,6,0,10,JALAN HAJI ALIAS,10.0,10.0,10.0,CCR,0,NIL,1.32251434536848,103.795520589503,,,,
187,FYVE DERBYSHIRE,16.67,36,6,11,DERBYSHIRE ROAD,11.0,11.0,11.0,CCR,1,309466,1.31644635495492,103.846258551824,ADRIA,9.0,3500.0,2.19
188,FYVE DERBYSHIRE,16.67,36,6,11,DERBYSHIRE ROAD,11.0,11.0,11.0,CCR,1,309470,1.31524471792015,103.84545057640601,PASADENA,19.0,1500.0,3.0
189,FYVE DERBYSHIRE,16.67,36,6,11,DERBYSHIRE ROAD,11.0,11.0,11.0,CCR,1,309459,1.31612341185448,103.845518779011,DERBYSHIRE HEIGHTS,21.0,2800.0,3.11
190,FYVE DERBYSHIRE,16.67,36,6,11,DERBYSHIRE ROAD,11.0,11.0,11.0,CCR,1,309462,1.31568172551157,103.84588041737601,6 DERBYSHIRE,2.0,2600.0,5.2
191,V ON SHENTON,90.2,500,451,1,SHENTON WAY,1.0,1.0,1.0,CCR,1,068814,1.27708340707632,103.849181343548,V ON SHENTON,13.0,1000.0,1.11
192,V ON SHENTON,90.2,500,451,1,SHENTON WAY,1.0,1.0,1.0,CCR,1,079118,1.27388660363947,103.84623554224501,EON SHENTON,5.0,4300.0,2.69
193,V ON SHENTON,90.2,500,451,1,SHENTON WAY,1.0,1.0,1.0,CCR,1,068803,1.27929491386806,103.850552623612,ONE SHENTON,15.0,7500.0,2.78
194,V ON SHENTON,90.2,500,451,1,SHENTON WAY,1.0,1.0,1.0,CCR,1,079119,1.2734661123903,103.845580809645,76 SHENTON,5.0,5300.0,2.94
195,BOTANIC @ CLUNY PARK,50.0,6,3,10,CLUNY PARK ROAD,10.0,10.0,10.0,CCR,0,257496,1.32193608150281,103.813870868929,CLUNY PARK RESIDENCE,11.0,3400.0,3.09
196,BOTANIC @ CLUNY PARK,50.0,6,3,10,CLUNY PARK ROAD,10.0,10.0,10.0,CCR,0,NIL,1.31798394169402,103.815269790283,,,,
197,RESIDENCE TWENTY-TWO,4.55,22,1,15,TELOK KURAU ROAD,15.0,15.0,15.0,OCR,1,423824,1.31335497672777,103.910858221599,THE COTZ,15.0,2600.0,2.0
198,RESIDENCE TWENTY-TWO,4.55,22,1,15,TELOK KURAU ROAD,15.0,15.0,15.0,OCR,1,423911,1.3103798289351498,103.91139368813299,PRESTIGE LOFT,14.0,2500.0,2.27
199,RESIDENCE TWENTY-TWO,4.55,22,1,15,TELOK KURAU ROAD,15.0,15.0,15.0,OCR,1,423763,1.31752405779934,103.90890062369199,PARC ELEGANCE,11.0,5000.0,2.5
200,RESIDENCE TWENTY-TWO,4.55,22,1,15,TELOK KURAU ROAD,15.0,15.0,15.0,OCR,1,423838,1.31169206684251,103.91161241774999,TELOK MANSION,17.0,1550.0,2.58
201,RESIDENCE TWENTY-TWO,4.55,22,1,15,TELOK KURAU ROAD,15.0,15.0,15.0,OCR,1,423858,1.30948276318531,103.911720115974,VIBES @ EAST COAST,11.0,6500.0,2.71
202,RESIDENCE TWENTY-TWO,4.55,22,1,15,TELOK KURAU ROAD,15.0,15.0,15.0,OCR,1,423910,1.31212247509773,103.911185983946,KURAU COURT,9.0,4300.0,3.91
203,RESIDENCE TWENTY-TWO,4.55,22,1,15,TELOK KURAU ROAD,15.0,15.0,15.0,OCR,1,NIL,1.31227720922866,103.910868184916,,,,
204,CASHEW GREEN,54.55,11,6,23,CASHEW ROAD,23.0,23.0,23.0,OCR,0,679646,1.3705870004698602,103.768078891345,CASHEW PARK CONDOMINIUM,9.0,3100.0,2.21
205,CASHEW GREEN,54.55,11,6,23,CASHEW ROAD,23.0,23.0,23.0,OCR,0,NIL,1.37213583932585,103.768039068818,CASHEW HEIGHTS CONDOMINIUM,17.0,2000.0,2.5
206,CASHEW GREEN,54.55,11,6,23,CASHEW ROAD,23.0,23.0,23.0,OCR,0,679695,1.36879391060315,103.765664597642,ESPA,7.0,3600.0,4.0
207,10 EVELYN,7.14,56,4,11,EVELYN ROAD,11.0,11.0,11.0,CCR,0,NIL,1.31630784676473,103.83986146719,D'EVELYN,10.0,3500.0,2.69
208,10 EVELYN,7.14,56,4,11,EVELYN ROAD,11.0,11.0,11.0,CCR,0,309304,1.31590666330911,103.83994779981701,SETIA RESIDENCES,23.0,2000.0,3.33
209,10 EVELYN,7.14,56,4,11,EVELYN ROAD,11.0,11.0,11.0,CCR,0,309309,1.31649465009914,103.839103883927,EVELYN MANSIONS,9.0,3800.0,3.8
210,10 EVELYN,7.14,56,4,11,EVELYN ROAD,11.0,11.0,11.0,CCR,0,309306,1.31548497427326,103.839467418834,RESIDENCES @ EVELYN,9.0,5150.0,3.96
211,TK ONE,0.0,5,0,15,LORONG N TELOK KURAU,15.0,15.0,15.0,OCR,0,425262,1.31031840393482,103.916914120578,THE AMBROSIA,16.0,3301.0,1.57
212,TK ONE,0.0,5,0,15,LORONG N TELOK KURAU,15.0,15.0,15.0,OCR,0,425244,1.3108763173470102,103.915485073734,EMPRADO SUITES,22.0,2500.0,1.92
213,TK ONE,0.0,5,0,15,LORONG N TELOK KURAU,15.0,15.0,15.0,OCR,0,425266,1.31114499548612,103.916123058693,THE LUCENT,19.0,2150.0,2.69
214,TK ONE,0.0,5,0,15,LORONG N TELOK KURAU,15.0,15.0,15.0,OCR,0,425259,1.3111253957183402,103.916556710644,TREESCAPE,23.0,1800.0,3.0
215,TK ONE,0.0,5,0,15,LORONG N TELOK KURAU,15.0,15.0,15.0,OCR,0,425163,1.30950544505905,103.911289279494,PALMERA RESIDENCE,12.0,3100.0,3.1
216,TK ONE,0.0,5,0,15,LORONG N TELOK KURAU,15.0,15.0,15.0,OCR,0,425142,1.30963964761044,103.909443139295,THE BECCAGAYLE,4.0,7000.0,4.12
217,AFFINITY AT SERANGOON,74.0,650,481,19,SERANGOON NORTH AVENUE 1,19.0,19.0,19.0,OCR,50,550120,1.3672758682207302,103.871075579396,SERANGOON VILLE,19.0,1900.0,3.17
218,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,455277,1.31449079443477,103.932605816024,SUITES @ EASTCOAST,16.0,3125.0,2.08
219,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,455208,1.31312519718197,103.92632573468399,CRESCENDO BUILDING,7.0,3600.0,2.57
220,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466507,1.3157814810613502,103.94142451602501,THE BAYCOURT,10.0,2600.0,2.6
221,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466520,1.31481231358526,103.94259038152799,VENEZIO,23.0,2650.0,2.65
222,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466456,1.3138495703282,103.938098437733,THE TROPIC GARDENS,10.0,6400.0,2.67
223,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466616,1.32045577770528,103.954735585255,BAGNALL COURT,16.0,2400.0,2.67
224,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466629,1.31923712165936,103.953446192005,EAST COAST TERRACE,10.0,4200.0,3.0
225,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466519,1.3147432676588602,103.942302354429,BALCON EAST,7.0,2850.0,3.56
226,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466403,1.31392450565899,103.934703666612,EASTERN LAGOON,19.0,1800.0,3.6
227,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466584,1.31602160012698,103.945675498741,THE DAFFODIL,10.0,10500.0,3.62
228,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466473,1.31371186339969,103.938714040603,VILLAS LAGUNA,10.0,8000.0,3.64
229,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,465522,1.31412187100142,103.937452766997,BREEZE BY THE EAST,21.0,2600.0,3.71
230,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466581,1.31577493252137,103.945189532444,BLEU @ EAST COAST,4.0,8804.0,4.0
231,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466506,1.31670803730258,103.940781787705,THE SUMMIT,10.0,11693.0,4.03
232,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466477,1.31365569116406,103.939090715487,UBER 388,9.0,9500.0,4.13
233,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,466522,1.31506384580924,103.94314173038201,EAST COAST RESIDENCES,10.0,2950.0,4.21
234,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,NIL,1.31498289871206,103.94100785992599,,,,
235,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,455238,1.31298915407942,103.92897691662,CHIANG'S COURT,9.0,2700.0,4.5
236,SEA PAVILION RESIDENCES,100.0,24,24,16,UPPER EAST COAST ROAD,16.0,16.0,16.0,OCR,0,NIL,1.31498289871206,103.94100785992599,,,,
237,RIVERFRONT RESIDENCES,78.17,1200,938,19,HOUGANG AVENUE 7,19.0,19.0,19.0,OCR,55,534260,1.3739325748107702,103.901140296964,THE FLORIDA,12.0,3500.0,2.5
238,RIVERFRONT RESIDENCES,78.17,1200,938,19,HOUGANG AVENUE 7,19.0,19.0,19.0,OCR,55,NIL,1.3674048859686,103.89925798206801,RIO CASA,12.0,2400.0,4.8
239,RIVERFRONT RESIDENCES,78.17,1200,938,19,HOUGANG AVENUE 7,19.0,19.0,19.0,OCR,55,538803,1.36953376586594,103.89958057562599,EVERGREEN PARK,9.0,2500.0,6.25
240,CITY GATE,100.0,311,311,7,BEACH ROAD,7.0,7.0,7.0,RCR,0,199599,1.30070393376472,103.86186108134198,CONCOURSE SKYLINE,14.0,2250.0,2.25
241,CITY GATE,100.0,311,311,7,BEACH ROAD,7.0,7.0,7.0,RCR,0,199590,1.29962022808966,103.860647264692,THE PLAZA,23.0,1800.0,3.0
242,CITY GATE,100.0,311,311,7,BEACH ROAD,7.0,7.0,7.0,RCR,0,NIL,1.29940227018096,103.859040963319,KIMETAL BUILDING,14.0,1750.0,3.5
243,CITY GATE,100.0,311,311,7,BEACH ROAD,7.0,7.0,7.0,RCR,0,199588,1.30275121635194,103.86516364954299,GOLDEN MILE COMPLEX,10.0,4000.0,5.0
244,33 RESIDENCES,100.0,27,27,14,LORONG 30 GEYLANG,14.0,14.0,14.0,RCR,0,NIL,1.31263020052,103.886319562745,,,,
245,33 RESIDENCES,100.0,27,27,14,LORONG 30 GEYLANG,14.0,14.0,14.0,RCR,0,398361,1.31268470316216,103.885941244972,SUITES 28,11.0,7000.0,2.8
246,33 RESIDENCES,100.0,27,27,14,LORONG 30 GEYLANG,14.0,14.0,14.0,RCR,0,398355,1.31257739062176,103.886492371732,COSY 23,10.0,5100.0,3.0
247,33 RESIDENCES,100.0,27,27,14,LORONG 30 GEYLANG,14.0,14.0,14.0,RCR,0,398353,1.31285080910899,103.88649762576401,IDYLLIC SUITES,14.0,1600.0,3.2
248,33 RESIDENCES,100.0,27,27,14,LORONG 30 GEYLANG,14.0,14.0,14.0,RCR,0,398342,1.31345709214798,103.88646731823098,THE SANCTUARY @ GEYLANG,12.0,3700.0,3.36
249,33 RESIDENCES,100.0,27,27,14,LORONG 30 GEYLANG,14.0,14.0,14.0,RCR,0,398352,1.31287327322578,103.886114462631,THE MIDAS,14.0,1700.0,3.4
250,33 RESIDENCES,100.0,27,27,14,LORONG 30 GEYLANG,14.0,14.0,14.0,RCR,0,398384,1.31173675246557,103.88683383734501,FENG LAI MANSION,4.0,6933.0,4.08
251,33 RESIDENCES,100.0,27,27,14,LORONG 30 GEYLANG,14.0,14.0,14.0,RCR,0,398371,1.3120050027035,103.885949356768,GUILLEMARD EDGE,10.0,3100.0,4.43
252,33 RESIDENCES,100.0,27,27,14,LORONG 30 GEYLANG,14.0,14.0,14.0,RCR,0,398362,1.31221085653925,103.88652047971,VIENTO,2.0,2900.0,4.83
253,12 ON SHAN,0.0,30,0,12,SHAN ROAD,12.0,12.0,12.0,RCR,0,328107,1.3244972134403,103.846222506253,PINNACLE 16,18.0,2600.0,2.0
254,12 ON SHAN,0.0,30,0,12,SHAN ROAD,12.0,12.0,12.0,RCR,0,328108,1.32590458180223,103.845997985457,THE MARQUE @ IRRAWADDY,14.0,2700.0,3.0
255,LANDED HOUSING DEVELOPMENT,44.44,9,4,26,MENG SUAN ROAD,26.0,26.0,26.0,OCR,0,779286,1.4030608126511002,103.814712598173,MANDAI GARDEN,15.0,1800.0,3.0
256,ALANA,88.46,26,23,28,SUNRISE TERRACE,28.0,28.0,28.0,OCR,0,805404,1.3877219031341002,103.85539774696699,CABANA,9.0,2700.0,4.5
257,KENT RIDGE HILL RESIDENCES,60.8,250,152,5,SOUTH BUONA VISTA ROAD,5.0,5.0,5.0,RCR,14,118136,1.27980322314975,103.78590960328,VIVA VISTA,17.0,2300.0,2.3
258,KENT RIDGE HILL RESIDENCES,60.8,250,152,5,SOUTH BUONA VISTA ROAD,5.0,5.0,5.0,RCR,14,118166,1.28115860781559,103.787759973633,BAYVILLE CONDOMINIUM,19.0,3100.0,2.38
259,KENT RIDGE HILL RESIDENCES,60.8,250,152,5,SOUTH BUONA VISTA ROAD,5.0,5.0,5.0,RCR,14,118175,1.28133761889653,103.788992248282,VISTA PARK,3.0,5000.0,3.85
260,KENT RIDGE HILL RESIDENCES,60.8,250,152,5,SOUTH BUONA VISTA ROAD,5.0,5.0,5.0,RCR,14,NIL,1.28679715459693,103.784658343144,,,,
261,THE JOVELL,26.8,250,67,17,FLORA DRIVE,17.0,17.0,17.0,OCR,8,506861,1.35588599347411,103.965304613692,PARC OLYMPIA,18.0,2600.0,1.86
262,THE JOVELL,26.8,250,67,17,FLORA DRIVE,17.0,17.0,17.0,OCR,8,506851,1.35596896951349,103.966315676876,THE INFLORA,21.0,2700.0,1.93
263,THE JOVELL,26.8,250,67,17,FLORA DRIVE,17.0,17.0,17.0,OCR,8,507027,1.3592969795824998,103.964407924631,CARISSA PARK CONDOMINIUM,17.0,1700.0,2.83
264,THE JOVELL,26.8,250,67,17,FLORA DRIVE,17.0,17.0,17.0,OCR,8,507013,1.3590532089863998,103.96518906183,DAHLIA PARK CONDOMINIUM,10.0,2600.0,2.89
265,THE JOVELL,26.8,250,67,17,FLORA DRIVE,17.0,17.0,17.0,OCR,8,506891,1.35505338780875,103.966968614236,HEDGES PARK CONDOMINIUM,12.0,2900.0,2.9
266,THE JOVELL,26.8,250,67,17,FLORA DRIVE,17.0,17.0,17.0,OCR,8,506867,1.3567908665883202,103.963697627332,PALM ISLES,7.0,3000.0,3.75
267,THE JOVELL,26.8,250,67,17,FLORA DRIVE,17.0,17.0,17.0,OCR,8,506952,1.35780121492412,103.964498095261,FERRARIA PARK CONDOMINIUM,9.0,8800.0,4.19
268,LINK RESIDENCE @ HOLLAND,0.0,2,0,10,GREENLEAF ROAD,10.0,10.0,10.0,CCR,0,NIL,1.32219408774503,103.786602899997,,,,
269,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238349,1.29563102657535,103.841615089993,OXLEY EDGE,13.0,1000.0,1.11
270,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238352,1.29632425592327,103.84145161370199,VILLE ROYALE,13.0,2500.0,1.67
271,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238291,1.29380093107285,103.842145033288,RV POINT,21.0,2500.0,1.79
272,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238306,1.29468505172314,103.84140602426001,VALLEY LODGE,18.0,2500.0,1.92
273,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,NIL,1.29558337669447,103.83773442378799,,,,
274,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,248306,1.2951045867980502,103.828511352677,STELLAR RV,19.0,2800.0,2.33
275,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,248368,1.29317347613804,103.828577644837,VALLEY PARK,15.0,5200.0,2.36
276,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238365,1.29556297139717,103.83423547942301,YONG AN PARK,15.0,5300.0,2.41
277,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,248346,1.29434105033387,103.828440282424,RV RESIDENCES,15.0,2100.0,2.63
278,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238374,1.29639111945044,103.834694192111,THE VERV @ RV,7.0,2250.0,2.81
279,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238275,1.2931110664746002,103.84181057083599,UE SQUARE,23.0,1825.0,3.04
280,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,248289,1.2956052030356,103.829406938324,RV SUITES,11.0,4000.0,3.08
281,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238367,1.29602033180482,103.83815660617701,VALLEY HOUSE,10.0,7500.0,3.13
282,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238381,1.29635617157408,103.837991072981,RESIDENCES AT 338A,15.0,6200.0,3.26
283,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238322,1.29571705287659,103.839861034802,TWO8ONE STUDIO,17.0,1650.0,3.3
284,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,248342,1.2941463096058898,103.826988034433,RIVER VALLEY COURT,10.0,4500.0,3.46
285,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238373,1.29679493077615,103.83493414428301,RIVERDALE RESIDENCE,10.0,4200.0,3.5
286,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238309,1.29471595933453,103.84005116736401,ASPEN HEIGHTS,10.0,4950.0,3.81
287,RV ALTITUDE,33.33,63,21,9,RIVER VALLEY ROAD,9.0,9.0,9.0,CCR,2,238366,1.29610970657654,103.838506457383,336 RIVER VALLEY,9.0,3100.0,3.88
