,Project_x,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District_x,Street,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth,Postal,Latitude,Longitude,Project_y,District_y,Rent,PricePerSqft
32,M5,33.33,33,11,10,JALAN MUTIARA,10.0,10.0,10.0,CCR,1,249212,1.29636917998733,103.82842632859399,LATITUDE,10.0,3300.0,3.0
33,M5,33.33,33,11,10,JALAN MUTIARA,10.0,10.0,10.0,CCR,1,249183,1.29586840547879,103.829376171741,MUTIARA CREST,10.0,7300.0,3.48
34,M5,33.33,33,11,10,JALAN MUTIARA,10.0,10.0,10.0,CCR,1,249226,1.29664885234735,103.82725394849399,MUTIARA VIEW,10.0,3000.0,4.29
35,M5,33.33,33,11,10,JALAN MUTIARA,10.0,10.0,10.0,CCR,1,249188,1.2962220784416398,103.82908544854999,THE MONTANA,9.0,2500.0,5.0
36,M5,33.33,33,11,10,JALAN MUTIARA,10.0,10.0,10.0,CCR,1,249226,1.29664885234735,103.82725394849399,DRAGON VIEW PARK,9.0,2400.0,6.0
37,ASPEN LINQ,94.44,18,17,9,INSTITUTION HILL,9.0,9.0,9.0,CCR,0,239669,1.29534157993432,103.83984438568301,ASPEN LINQ,10.0,5900.0,3.28
38,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329929,1.3216258845396298,103.852170059769,SCENIC HEIGHTS,22.0,2300.0,1.53
39,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329731,1.32297705868269,103.852811284107,BALESTIER 288,23.0,2000.0,1.82
40,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329714,1.3221334282275,103.85319966187201,OKIO,27.0,2550.0,2.32
41,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329857,1.3271687447425702,103.845518560598,MONVILLE MANSIONS,20.0,2700.0,2.45
42,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329928,1.32129563232504,103.85252610952801,ROCCA BALESTIER,15.0,3250.0,2.5
43,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329802,1.32572472557094,103.850395374025,BALESTIER PLAZA,14.0,2900.0,2.64
44,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329779,1.32519991303347,103.85101689287399,SHAW PLAZA - TWIN HEIGHTS,23.0,3200.0,2.67
45,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329699,1.32129143429011,103.852179456118,CITY SUITES,15.0,1900.0,2.71
46,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,NIL,1.32329968680898,103.852242703876,,,,
47,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329776,1.3249498805830802,103.85260455645901,RITZ MANSIONS,7.0,3300.0,3.3
48,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329853,1.32697693485955,103.845903319079,VIIO @ BALESTIER,14.0,1650.0,3.3
49,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329701,1.32184413934143,103.853334117435,URBAN HERITAGE,4.0,8300.0,3.46
50,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329682,1.32052452836712,103.85244734031299,THE MEZZO,4.0,7500.0,3.57
51,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329832,1.32657360790911,103.848359893837,ASCENT @ 456,3.0,5100.0,3.64
52,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329778,1.32532977793952,103.852411690265,PRESTIGE HEIGHTS,7.0,3300.0,3.67
53,ASCENT @ 456,96.43,28,27,12,BALESTIER ROAD,12.0,12.0,12.0,RCR,0,329727,1.3228119372874,103.852026274201,BALESTIER POINT,9.0,2600.0,6.5
54,THE POIZ RESIDENCES,99.45,731,727,13,MEYAPPA CHETTIAR ROAD,13.0,13.0,13.0,RCR,0,358458,1.33057571803681,103.867633781248,AO JIANG APARTMENTS,19.0,2500.0,2.5
55,THE POIZ RESIDENCES,99.45,731,727,13,MEYAPPA CHETTIAR ROAD,13.0,13.0,13.0,RCR,0,358459,1.33067325977267,103.867454592316,RIDGE COURT,8.0,3000.0,2.73
56,THE POIZ RESIDENCES,99.45,731,727,13,MEYAPPA CHETTIAR ROAD,13.0,13.0,13.0,RCR,0,358464,1.33089008745422,103.86689665078,CASA MEYA,9.0,3000.0,3.75
