Postal,Latitude,Longitude,Project,Street,District,Rent,PricePerSqft
669232,1.3524492458609298,103.758421056033,HILLS TWOONE,HILLVIEW TERRACE,21.0,2400.0,1.5
425346,1.3106758938757699,103.912760068148,IDYLLIC RESIDENCES,LORONG M TELOK KURAU,23.0,4500.0,1.5
546200,1.36289802477238,103.87910644685101,ROSYTH RESIDENCE,ROSYTH ROAD,19.0,3800.0,1.52
259184,1.31243374269504,103.824004177334,FERNHILL GARDEN,FERNHILL CRESCENT,21.0,2300.0,1.53
308979,1.3209204571061102,103.83216157141199,GOLDHILL GARDENS,GOLDHILL DRIVE,20.0,2300.0,1.53
118572,1.27925056413258,103.78715433497601,LANDRIDGE CONDOMINIUM,PASIR PANJANG ROAD,19.0,4600.0,1.53
329929,1.3216258845396298,103.852170059769,SCENIC HEIGHTS,BALESTIER ROAD,22.0,2300.0,1.53
456644,1.31151885982092,103.933086390764,HUA XIN COURT,NALLUR ROAD,12.0,2600.0,1.53
NIL,1.37103183834194,103.83042866972299,,JALAN MENARONG,,,
426146,1.3166930438083,103.9141414281,THE VERTE,LORONG H TELOK KURAU,20.0,6200.0,1.55
NIL,1.3225875322321698,103.82604467150298,,WHITLEY ROAD,,,
NIL,1.3220072026314298,103.95826184602801,,EASTWOOD ROAD,,,
529893,1.3389343211971,103.95032943701901,EASTPOINT GREEN,SIMEI STREET 3,16.0,3888.0,1.56
329557,1.32493712413548,103.846068919286,CASA IRRAWADDY,IRRAWADDY ROAD,23.0,3900.0,1.56
648343,1.34005396911047,103.705755724564,THE CENTRIS,JURONG WEST CENTRAL 3,14.0,2500.0,1.56
425262,1.31031840393482,103.916914120578,THE AMBROSIA,LORONG N TELOK KURAU,16.0,3301.0,1.57
NIL,1.30345636278745,103.84133318504999,CAVENAGH HOUSE,CAVENAGH ROAD,5.0,3300.0,1.57
438646,1.31169308156398,103.89630666536101,38 I SUITES,IPOH LANE,16.0,3950.0,1.58
259469,1.3154721101454498,103.825103568175,DLV.,DALVEY ROAD,15.0,2700.0,1.59
NIL,1.3558088425795503,103.88039037200599,SANCTUARY @813,UPPER SERANGOON ROAD,20.0,4000.0,1.6
388230,1.31418522841419,103.882905256464,ENG APARTMENTS,LORONG 25A GEYLANG,8.0,4000.0,1.6
