Project,Street,District,Rent,PricePerSqft
NATHAN SUITES,NATHAN ROAD,19,4800,2.18
JUBILEE RESIDENCE,PASIR PANJANG ROAD,19,3500,2.19
VIBES@UPPER SERANGOON,UPPER SERANGOON ROAD,19,3500,2.19
WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,09,3500,2.19
NON-LANDED HOUSING DEVELOPMENT,BENCOOLEN STREET,09,3500,2.19
ADRIA,DERBYSHIRE ROAD,09,3500,2.19
MELROSE PARK,KELLOCK ROAD,18,2850,2.19
CASA CAIRNHILL,PECK HAY ROAD,08,2850,2.19
TANGLIN REGENCY,TANGLIN ROAD,10,6600,2.2
NON-LANDED HOUSING DEVELOPMENT,TANJONG KATONG ROAD,02,5500,2.2
REGENCY LODGE,SHANGHAI ROAD,14,2200,2.2
REGENTVILLE,HOUGANG STREET 92,17,2200,2.2
91 MARSHALL,MARSHALL ROAD,17,2200,2.2
THE BELMONT,BELMONT ROAD,19,2200,2.2
SPRINGLEAF VILLAS,SPRINGLEAF CRESCENT,21,4400,2.2
TURQUOISE,COVE DRIVE,21,2200,2.2
DALLA VALE,SPRINGLEAF AVENUE,21,2200,2.2
ST MICHAEL'S PLACE,JALAN TAMAN,21,2200,2.2
BLUE HORIZON,WEST COAST CRESCENT,14,3100,2.21
NORTHWOOD,JALAN MATA AYER,21,3100,2.21
THOMSON 800,THOMSON ROAD,21,3100,2.21
CASHEW PARK CONDOMINIUM,CASHEW ROAD,09,3100,2.21
TREASURES@G19,LORONG 19 GEYLANG,12,3100,2.21
JERVOIS MANSIONS,JERVOIS ROAD,19,2650,2.21
DUNEARN SUITES,DUNEARN ROAD,15,3100,2.21
THE ESPIRA,LORONG L TELOK KURAU,15,6000,2.22
26 NEWTON,NEWTON ROAD,10,4000,2.22
CAVENAGH FORTUNA,CAVENAGH ROAD,10,4000,2.22
NON-LANDED HOUSING DEVELOPMENT,KINTA ROAD,17,2000,2.22
CORONATION GROVE,CORONATION ROAD,17,2000,2.22
CASPIAN,LAKESIDE DRIVE,17,2000,2.22
THE TRIZON,RIDGEWOOD CLOSE,18,2000,2.22
CHARLTON 27,SURIN AVENUE,17,2000,2.22
SMART SUITES,SIMS AVENUE,17,2000,2.22
D'OASIA,LORONG MELAYU,07,2000,2.22
NON-LANDED HOUSING DEVELOPMENT,ENG HOON STREET,07,2000,2.22
OXLEY RESIDENCE,OXLEY ROAD,19,2000,2.22
SUMMER GREEN,BOON TECK ROAD,19,2900,2.23
THE ALCOVE,LORONG 27 GEYLANG,19,2900,2.23
LAKEPOINT CONDOMINIUM,LAKEPOINT DRIVE,19,2900,2.23
PATERSON LINC,PATERSON ROAD,14,2900,2.23
LANDED HOUSING DEVELOPMENT,TOH YI ROAD,16,2900,2.23
SAGE,NASSIM ROAD,23,2450,2.23
BAROSSA GARDENS,PASIR PANJANG ROAD,10,6700,2.23
THE QUINTET,CHOA CHU KANG STREET 64,13,2900,2.23
LANDED HOUSING DEVELOPMENT,TEMBELING ROAD,16,2900,2.23
LANDED HOUSING DEVELOPMENT,SIMON WALK,16,2900,2.23
LANDED HOUSING DEVELOPMENT,SIMON LANE,10,6500,2.24
NON-LANDED HOUSING DEVELOPMENT,CRANE ROAD,10,6500,2.24
LANDED HOUSING DEVELOPMENT,SENNETT DRIVE,10,4500,2.25
NANAK MANSIONS,MEYER ROAD,19,2700,2.25
COSTA DEL SOL,BAYSHORE ROAD,14,2250,2.25
LANDED HOUSING DEVELOPMENT,MOUNT ROSIE ROAD,17,1800,2.25
NON-LANDED HOUSING DEVELOPMENT,CLAYMORE ROAD,14,2700,2.25
LANDED HOUSING DEVELOPMENT,CORNWALL GARDENS,14,2700,2.25
WOODSVALE,WOODLANDS DRIVE 72,16,3600,2.25
CONCOURSE SKYLINE,BEACH ROAD,14,2250,2.25
FUYONG ESTATE,JALAN ASAS,19,2700,2.25
SUNSHINE GROVE,JALAN LABU MERAH,11,2700,2.25
PINEHURST CONDOMINIUM,LORONG L TELOK KURAU,17,2700,2.25
LANDED HOUSING DEVELOPMENT,BRIGHTON AVENUE,19,2700,2.25
D'CAMBRIDGE,CAMBRIDGE ROAD,19,3610,2.26
CRESCENDO PARK,JALAN TUA KONG,20,3850,2.26
GRAY MANSIONS,GRAY LANE,15,5000,2.27
CLIVEDEN AT GRANGE,GRANGE ROAD,15,5000,2.27
TREASURE GARDENS,TEOW HOCK AVENUE,21,2500,2.27
LANDED HOUSING DEVELOPMENT,SOMMERVILLE WALK,21,2500,2.27
CASA NALLUR,NALLUR ROAD,16,2500,2.27
HILLBROOKS,HILLVIEW AVENUE,14,3400,2.27
LANDED HOUSING DEVELOPMENT,JALAN KEMBANGAN,14,2500,2.27
MELVILLE PARK,SIMEI STREET 1,14,2500,2.27
GALLOP GREEN,WOOLLERTON PARK,15,2500,2.27
BUKIT REGENCY,UPPER BUKIT TIMAH VIEW,19,5000,2.27
LAVERNE'S LOFT,LORONG L TELOK KURAU,15,2500,2.27
DEVONSHIRE BUILDING,DEVONSHIRE ROAD,19,3400,2.27
PRESTIGE LOFT,TELOK KURAU ROAD,14,2500,2.27
ONE @ PULASAN,PULASAN ROAD,14,2500,2.27
STUDIOS @ MARNE,MARNE ROAD,14,2500,2.27
NON-LANDED HOUSING DEVELOPMENT,FLANDERS SQUARE,18,3400,2.27
R66 APARTMENTS,RANGOON ROAD,18,2500,2.27
LANDED HOUSING DEVELOPMENT,KINGSMEAD ROAD,19,3200,2.29
TROPICAL SPRING,SIMEI STREET 4,23,2750,2.29
TAN CHIN TUAN MANSION,CAIRNHILL ROAD,14,2750,2.29
NON-LANDED HOUSING DEVELOPMENT,GREENLEAF WALK,17,2750,2.29
LANDED HOUSING DEVELOPMENT,EVERITT ROAD,08,2750,2.29
GILSTEAD MANSION,GILSTEAD ROAD,15,3200,2.29
LENTOR VILLAS,LENTOR STREET,12,3200,2.29
OPTIMA @ TANAH MERAH,TANAH MERAH KECHIL AVENUE,19,3200,2.29
NON-LANDED HOUSING DEVELOPMENT,DUBLIN ROAD,12,3200,2.29
THE CHAMPAGNE,CHANGI ROAD,10,6400,2.29
THE MINT RESIDENCES,JOO CHIAT TERRACE,09,3200,2.29
ROBIN REGALIA,ROBIN ROAD,09,3200,2.29
ALBA,CAIRNHILL RISE,16,2300,2.3
VIVA VISTA,SOUTH BUONA VISTA ROAD,17,2300,2.3
HELICONA LODGE,JALAN HAJI SALAM,17,2300,2.3
PEIRCE VILLAS,PEIRCE HILL,19,2300,2.3
HILLSTA,PHOENIX ROAD,19,2300,2.3
CHIVERTON,EWE BOON ROAD,19,2300,2.3
ONE AKYAB,AKYAB ROAD,19,2300,2.3
TERRENE AT BUKIT TIMAH,JALAN JURONG KECHIL,14,2300,2.3
BALMORAL RESIDENCES,BALMORAL CRESCENT,21,2300,2.3
THE TIER,PEGU ROAD,21,2300,2.3
NON-LANDED HOUSING DEVELOPMENT,BEATTY ROAD,21,2300,2.3
THE MERLOT,KENG LEE ROAD,15,2300,2.3
SUNRISE VILLA,SUNRISE AVENUE,09,3000,2.31
CENTRAL IMPERIAL,LORONG 14 GEYLANG,19,3000,2.31
BAYSHORE PARK,BAYSHORE ROAD,23,3000,2.31
EASTWOOD REGENCY,EASTWOOD ROAD,15,3000,2.31
CHIKU MANSIONS,CHIKU ROAD,16,3000,2.31
LLOYD COURT,LLOYD ROAD,16,3000,2.31
NASSIM MANSION,NASSIM HILL,16,3000,2.31
NATURE MANSIONS,LORONG K TELOK KURAU,23,3000,2.31
TANJONG RIA CONDOMINIUM,TANJONG RHU ROAD,15,3000,2.31
NON-LANDED HOUSING DEVELOPMENT,LIM TECK KIM ROAD,21,3000,2.31
GALLOP GABLES,FARRER ROAD,16,3000,2.31
FABER GARDEN CONDOMINIUM,ANGKLONG LANE,13,3000,2.31
VENTANA,PASIR PANJANG HILL,15,3000,2.31
SPANISH VILLAGE,FARRER ROAD,15,3250,2.32
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,14,2550,2.32
BOONVIEW,MARYMOUNT TERRACE,19,2550,2.32
OKIO,BALESTIER ROAD,27,2550,2.32
FLAME TREE PARK,SIN MING AVENUE,17,2100,2.33
DALVEY COURT,DALVEY ESTATE,17,2100,2.33
KARTAR APARTMENTS,THOMSON ROAD,17,2100,2.33
GPL TERRACE,KWONG AVENUE,14,2800,2.33
ANGSANA@21,LORONG TAHAR,14,2800,2.33
ONE LEICESTER,LEICESTER ROAD,14,2800,2.33
KELLOCK LODGE,KELLOCK ROAD,16,2100,2.33
CASAFINA,BEDOK SOUTH AVENUE 1,14,2100,2.33
BARTLEY RISE ESTATE,EDEN GROVE,20,4200,2.33
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,20,4200,2.33
GREENWOOD VILLAS,GREENWOOD PLACE,15,2100,2.33
EVERGREEN VIEW,LORONG 36 GEYLANG,12,2800,2.33
THE AMERY,LORONG K TELOK KURAU,18,2100,2.33
PARK WEST,JALAN LEMPENG,10,3500,2.33
THE SILVER FIR,BUTTERWORTH LANE,19,2800,2.33
LANDED HOUSING DEVELOPMENT,BRADDELL ROAD,10,7000,2.33
EURO-ASIA APARTMENTS,SERANGOON ROAD,10,7000,2.33
ENG KONG PARK,ENG KONG CRESCENT,10,7000,2.33
STELLAR RV,RIVER VALLEY ROAD,19,2800,2.33
AVALON,ANDERSON ROAD,19,2800,2.33
PASIR PANJANG LODGE,PASIR PANJANG ROAD,19,2800,2.33
STILLZ RESIDENCE,LORONG 108 CHANGI,19,2800,2.33
WILKIE APARTMENTS,WILKIE ROAD,14,2100,2.33
LANDED HOUSING DEVELOPMENT,LOTHIAN TERRACE,16,2100,2.33
TEMBELING CENTRE,TEMBELING ROAD,23,2100,2.33
SIMS URBAN OASIS,SIMS DRIVE,18,3500,2.33
HILBRE28,HILLSIDE DRIVE,15,6800,2.34
LOFT @ RANGOON,RANGOON ROAD,09,4000,2.35
ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,15,2350,2.35
LANDED HOUSING DEVELOPMENT,TEO KIM ENG ROAD,15,4000,2.35
SPRINGVALE,EAST COAST ROAD,15,4000,2.35
THE TRILINQ,JALAN LEMPENG,15,4000,2.35
111 EMERALD HILL,EMERALD HILL ROAD,23,2350,2.35
LUCKY VILLAS,LUCKY HEIGHTS,17,2350,2.35
URBAN EDGE @ HOLLAND V,FORD AVENUE,19,2350,2.35
HAIG LODGE,HAIG ROAD,11,4000,2.35
EBONY MANSIONS,LORONG M TELOK KURAU,11,4000,2.35
ADAM PLACE,ADAM ROAD,19,4000,2.35
THE LANAI,HILLVIEW AVENUE,21,2600,2.36
ALEX RESIDENCES,ALEXANDRA VIEW,10,5900,2.36
VALLEY PARK,RIVER VALLEY ROAD,15,5200,2.36
GENTLE VILLAS,GENTLE DRIVE,19,3300,2.36
PALM GROVE CONDOMINIUM,PALM GROVE AVENUE,15,3300,2.36
LANDED HOUSING DEVELOPMENT,WINDSOR PARK ROAD,17,2600,2.36
THE DRAYCOTT,DRAYCOTT PARK,14,2600,2.36
CAVENAGH COURT,CAVENAGH ROAD,14,2600,2.36
BEAUTY WORLD CENTRE,UPPER BUKIT TIMAH ROAD,21,3300,2.36
PEAK COURT,THOMSON ROAD,21,3300,2.36
WORTHINGTON,BUTTERWORTH LANE,13,2600,2.36
THOMSON GARDEN ESTATE,JALAN ISNIN,15,1650,2.36
THOMSON RIDGE ESTATE,THOMSON RIDGE,23,2600,2.36
NON-LANDED HOUSING DEVELOPMENT,ST. THOMAS WALK,19,2600,2.36
SOMMERVILLE GRANDEUR,FARRER DRIVE,14,2600,2.36
LE CONNEY PARK,LORONG L TELOK KURAU,27,2600,2.36
CASA UNO,STEVENS CLOSE,09,3300,2.36
FABER CREST,FABER HEIGHTS,10,4500,2.37
LA VILLE,TANJONG RHU ROAD,10,4500,2.37
BRADDELL VIEW,BRADDELL HILL,19,3100,2.38
LANDED HOUSING DEVELOPMENT,YUNNAN ROAD,19,3800,2.38
ORCHARD VIEW,ANGULLIA PARK,19,3100,2.38
BAYVILLE CONDOMINIUM,SOUTH BUONA VISTA ROAD,19,3100,2.38
HIGH POINT,MOUNT ELIZABETH,17,1900,2.38
PONGGOL PARK,PONGGOL SEVENTEENTH AVENUE,14,3100,2.38
SKY@ELEVEN,THOMSON LANE,12,2850,2.38
LENTOR VIEW,LENTOR LANE,17,1900,2.38
SELEGIE CENTRE,SELEGIE ROAD,17,1900,2.38
M66,MOONSTONE LANE,17,1900,2.38
VISTA GARDEN,TOH TUCK CRESCENT,19,1900,2.38
THE QUAYSIDE,ROBERTSON QUAY,09,3800,2.38
MARINA BAY RESIDENCES,MARINA BOULEVARD,09,3800,2.38
SKIES MILTONIA,MILTONIA CLOSE,07,1900,2.38
THE GRANDHILL,PASIR PANJANG HILL,16,2150,2.39
LANDED HOUSING DEVELOPMENT,MOUNT EMILY ROAD,14,2150,2.39
NON-LANDED HOUSING DEVELOPMENT,UPPER SERANGOON ROAD,19,2150,2.39
THE SANTORINI,TAMPINES STREET 86,10,18000,2.4
DUNMAN PLACE,DUNMAN ROAD,15,3600,2.4
BALMORAL PLAZA,BUKIT TIMAH ROAD,15,2400,2.4
LIV ON WILKIE,WILKIE TERRACE,19,2400,2.4
SWISS CLUB PARK,JALAN SENANDONG,17,2400,2.4
PRESTO@UPPER SERANGOON,UPPER SERANGOON ROAD,17,2400,2.4
MULBERRY TREE,MOULMEIN ROAD,19,6000,2.4
LANDED HOUSING DEVELOPMENT,MOUNTBATTEN ROAD,19,3600,2.4
CITY EDGE,MOULMEIN RISE,15,3600,2.4
PATENT PLACE,JALAN RAJAWALI,15,3600,2.4
LANDED HOUSING DEVELOPMENT,HOOT KIAM ROAD,11,5750,2.4
TORIEVILLE,LORONG 6 GEYLANG,14,2400,2.4
LANDED HOUSING DEVELOPMENT,SIGLAP ROAD,21,2400,2.4
D' DALVEY,DALVEY ESTATE,21,2400,2.4
MOUNT FABER LODGE,MOUNT FABER ROAD,21,2400,2.4
PARC OASIS,JURONG EAST AVENUE 1,21,2400,2.4
RESIDENCES @ JANSEN,JANSEN ROAD,15,4100,2.41
YONG AN PARK,RIVER VALLEY ROAD,15,5300,2.41
NON-LANDED HOUSING DEVELOPMENT,ZION ROAD,15,5300,2.41
NESS,LORONG 32 GEYLANG,15,5300,2.41
BEAUFORT ON NASSIM,NASSIM ROAD,14,2650,2.41
SIGNATURE CREST,GRAY LANE,19,2650,2.41
28 RC SUITES,RACE COURSE LANE,23,2900,2.42
LANDED HOUSING DEVELOPMENT,ENG KONG ROAD,14,2900,2.42
NON-LANDED HOUSING DEVELOPMENT,HAMILTON ROAD,14,2900,2.42
ONE JERVOIS,JERVOIS CLOSE,15,2900,2.42
GLASGOW TERRACE,GLASGOW ROAD,19,2900,2.42
THE PROMENADE@PELIKAT,JALAN PELIKAT,15,3400,2.43
GOLD COAST CONDOMINIUM,PASIR PANJANG ROAD,19,3400,2.43
THE ARC AT DRAYCOTT,DRAYCOTT DRIVE,11,8500,2.43
WATERFRONT GOLD,BEDOK RESERVOIR ROAD,11,8500,2.43
GRACIOUS MANSIONS,JALAN RENDANG,19,3400,2.43
MEYER MELODIA,MEYER PLACE,10,7300,2.43
LANDED HOUSING DEVELOPMENT,LORONG 110 CHANGI,09,3400,2.43
PASIR RIS BEACH PARK,ELIAS ROAD,15,2200,2.44
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,14,2200,2.44
CLYDESVIEW,JERVOIS LANE,17,2200,2.44
LANDED HOUSING DEVELOPMENT,COUNTRYSIDE ROAD,14,2200,2.44
PARK VILLAS,PARK VILLAS GREEN,14,2200,2.44
LANDED HOUSING DEVELOPMENT,COWDRAY AVENUE,20,3900,2.44
THE SEAFRONT ON MEYER,MEYER ROAD,16,2200,2.44
HILLION RESIDENCES,JELEBU ROAD,09,6100,2.44
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,19,2200,2.44
THE LAURELS,CAIRNHILL ROAD,16,2200,2.44
SEMBAWANG VILLAS,SEMBAWANG PLACE,16,2200,2.44
LANDED HOUSING DEVELOPMENT,SUNRISE AVENUE,19,2200,2.44
MONVILLE MANSIONS,BALESTIER ROAD,20,2700,2.45
THE CREEK @ BUKIT,TOH TUCK ROAD,16,2700,2.45
THE WHARF RESIDENCE,TONG WATT ROAD,15,2700,2.45
TWIN WATERFALLS,PUNGGOL WALK,14,2700,2.45
THE MEYERISE,MEYER ROAD,20,2700,2.45
WING FONG COURT,LORONG 14 GEYLANG,13,2700,2.45
18 WOODSVILLE,WOODSVILLE CLOSE,13,2700,2.45
MARINE MANSION,SEA AVENUE,09,2700,2.45
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,14,2700,2.45
ALESSANDREA,ALEXANDRA ROAD,20,2700,2.45
THE LOFT,NASSIM HILL,11,4900,2.45
NON-LANDED HOUSING DEVELOPMENT,EAST COAST ROAD,15,2700,2.45
ROYALVILLE,BUKIT TIMAH ROAD,18,2700,2.45
SHELFORD SUITES,SHELFORD ROAD,09,3200,2.46
NON-LANDED HOUSING DEVELOPMENT,TAMPINES AVENUE 1,19,3200,2.46
AVENUE VILLAS,FIFTH AVENUE,14,2950,2.46
TECK HIANG GARDENS,TOH TUCK ROAD,16,3200,2.46
SELBY GARDENS,LIM TAI SEE WALK,16,3200,2.46
SYLVAN LODGE,HOLLAND ROAD,16,3200,2.46
LANDED HOUSING DEVELOPMENT,MEDWAY DRIVE,11,6156,2.46
NON-LANDED HOUSING DEVELOPMENT,JASMINE ROAD,13,3200,2.46
LANDED HOUSING DEVELOPMENT,SENNETT AVENUE,11,8600,2.46
RIVERSHIRE,LEONIE HILL,14,3200,2.46
THE CENTREPOINT,ORCHARD ROAD,19,3200,2.46
WATERSCAPE AT CAVENAGH,CAVENAGH ROAD,09,4200,2.47
THE SCOTTS TOWER,SCOTTS ROAD,11,7400,2.47
DOMUS,IRRAWADDY ROAD,10,17500,2.5
PARC ELEGANCE,TELOK KURAU ROAD,11,5000,2.5
LANDED HOUSING DEVELOPMENT,BUKIT TIMAH ROAD,11,5000,2.5
CITYLIGHTS,JELLICOE ROAD,11,5000,2.5
LANDED HOUSING DEVELOPMENT,FERNHILL ROAD,10,3500,2.5
MODA,EAST COAST ROAD,10,5000,2.5
HORIZON GREEN,THOMSON WALK,10,3500,2.5
CRAIG PLACE,CRAIG ROAD,23,2000,2.5
SHERWOOD TOWER,JALAN ANAK BUKIT,27,2500,2.5
WATERCREST,LOYANG BESAR CLOSE,27,2000,2.5
LANDED HOUSING DEVELOPMENT,DUNBAR WALK,15,6000,2.5
ROCCA BALESTIER,BALESTIER ROAD,15,3250,2.5
CAIRNHILL CONSERVATION AREA,CAIRNHILL ROAD,09,8750,2.5
SEMBAWANG COTTAGE,SEMBAWANG ROAD,19,2500,2.5
NON-LANDED HOUSING DEVELOPMENT,JOO CHIAT ROAD,19,4000,2.5
PASIR VIEW PARK,PASIR PANJANG ROAD,15,2750,2.5
THE GREEN COLLECTION,COVE DRIVE,15,3500,2.5
DUCHESS CREST,DUCHESS AVENUE,17,2000,2.5
NON-LANDED HOUSING DEVELOPMENT,DORSET ROAD,17,2000,2.5
SUITES @ NEWTON,SURREY ROAD,23,3500,2.5
GRAMERCY PARK,GRANGE ROAD,14,3000,2.5
MONTROSA,HILLVIEW AVENUE,14,3000,2.5
LANDED HOUSING DEVELOPMENT,TANAH MERAH KECHIL ROAD,14,2750,2.5
ST THOMAS SUITES,ST. THOMAS WALK,14,2750,2.5
HOLLAND HILL PARK,HOLLAND HILL,14,3000,2.5
CHANGI GROVE,JALAN MARIAM,16,2000,2.5
WATERCOLOURS,PASIR RIS LINK,10,4500,2.5
TANGLIN VIEW,PRINCE CHARLES CRESCENT,21,2000,2.5
COUNTRY PARK CONDOMINIUM,BEDOK ROAD,11,6250,2.5
LAKE LIFE,TAO CHING ROAD,14,2000,2.5
AMBER POINT,AMBER ROAD,05,6750,2.5
NON-LANDED HOUSING DEVELOPMENT,HOOT KIAM ROAD,10,3000,2.5
THE MEYER PLACE,MEYER PLACE,13,3250,2.5
WELLINGTON PARK,ELLINGTON SQUARE,12,2500,2.5
CLUNY COURT,BUKIT TIMAH ROAD,11,7500,2.5
PALM SPRING,EWE BOON ROAD,12,3000,2.5
KENTISH LODGE,OXFORD ROAD,12,3000,2.5
OXLEY GARDEN,OXLEY GARDEN,18,15000,2.5
VOLARI,BALMORAL ROAD,15,2000,2.5
CASHEW HEIGHTS CONDOMINIUM,CASHEW ROAD,17,2000,2.5
NON-LANDED HOUSING DEVELOPMENT,SEAH STREET,17,2000,2.5
SUTTON PLACE,FARRER ROAD,08,3000,2.5
LANDED HOUSING DEVELOPMENT,UPPER CHANGI ROAD,19,3000,2.5
THE ESTORIL,HOLLAND ROAD,19,3000,2.5
LANDED HOUSING DEVELOPMENT,CASHEW CRESCENT,19,2000,2.5
NON-LANDED HOUSING DEVELOPMENT,LORONG 104 CHANGI,19,2000,2.5
WILKIE 87,WILKIE ROAD,19,2500,2.5
AO JIANG APARTMENTS,MEYAPPA CHETTIAR ROAD,19,2500,2.5
SUITES @ EUNOS,JALAN YASIN,13,2000,2.5
TREASURE ON BALMORAL,BALMORAL ROAD,19,3000,2.5
THE SUNSHINE,SUNSHINE TERRACE,19,3000,2.5
TOHO MANSION,HOLLAND ROAD,10,5000,2.5
D - HERITAGE APARTMENTS,LENGKONG EMPAT,10,5000,2.5
LANDED HOUSING DEVELOPMENT,CABLE ROAD,10,5000,2.5
NON-LANDED HOUSING DEVELOPMENT,TRURO ROAD,19,2000,2.5
VERDURE,HOLLAND ROAD,19,2000,2.5
KOVAN CREST,KOVAN ROAD,19,2000,2.5
MAYSPRINGS,PETIR ROAD,08,3500,2.5
THE AMBRA,LORONG H TELOK KURAU,08,3000,2.5
POLLEN & BLEU,FARRER DRIVE,08,3500,2.5
THE OCTET,LORONG 24 GEYLANG,11,2500,2.5
HILLCREST PARK,GREENMEAD AVENUE,11,2500,2.5
CITY REGENCY,ST. MICHAEL'S ROAD,12,2500,2.5
HOLLAND MEWS,HOLLAND ROAD,20,4000,2.5
LANDED HOUSING DEVELOPMENT,JALAN AMPANG,19,2000,2.5
OXFORD SUITES,OXFORD ROAD,19,3500,2.5
CHANGI GREEN,UPPER CHANGI ROAD EAST,19,3000,2.5
BEDOK RESIDENCES,BEDOK NORTH DRIVE,19,3000,2.5
RIVERGATE,ROBERTSON QUAY,19,3000,2.5
KENG LEE COURT,KENG LEE ROAD,19,3000,2.5
THE FLORIDA,HOUGANG AVENUE 7,12,3500,2.5
NON-LANDED HOUSING DEVELOPMENT,PASIR PANJANG ROAD,10,7000,2.5
ROSALIA PARK,LORONG ONG LYE,10,7000,2.5
QUEENS,STIRLING ROAD,10,7500,2.5
NORTHOAKS,WOODLANDS CRESCENT,10,7000,2.5
THE QUINN,BARTLEY ROAD,10,7500,2.5
LANDED HOUSING DEVELOPMENT,HUA GUAN AVENUE,09,3500,2.5
LANDED HOUSING DEVELOPMENT,BOUNDARY ROAD,09,3000,2.5
SIMSVILLE,GEYLANG EAST AVENUE 2,09,3000,2.5
WATER PLACE,TANJONG RHU ROAD,09,3250,2.5
CENTURY WOODS,WOODGROVE WALK,14,2500,2.5
FLORAVIEW,ANG MO KIO STREET 66,10,6300,2.52
TERRACE VIEW,ONAN ROAD,15,4300,2.53
KOVAN ESQUIRE,KOVAN ROAD,15,4300,2.53
EMERALD PARK,INDUS ROAD,15,4300,2.53
SEVEN HOLT ROAD,HOLT ROAD,15,3800,2.53
THE VINES,LORONG SARINA,15,6100,2.54
CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,11,6359,2.54
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,21,3300,2.54
FLORIDA PARK,SUNRISE WAY,19,3300,2.54
BEDOKVILLE,JALAN LIMAU BALI,11,3300,2.54
LOYANG GARDENS,JALAN LOYANG BESAR,19,3050,2.54
LANDED HOUSING DEVELOPMENT,CORONATION DRIVE,20,3300,2.54
BRIGHTON VIEW,BRIGHTON AVENUE,10,2800,2.55
THE TESSARINA,WILBY ROAD,23,2800,2.55
RAFFLESIA CONDOMINIUM,BISHAN STREET 21,23,2800,2.55
LOYANG VILLAS,LOYANG RISE,23,2550,2.55
TUDOR TEN,TUDOR CLOSE,23,2800,2.55
DUNSFOLD RESIDENCES,DUNSFOLD DRIVE,14,3060,2.55
LYNNSVILLE 331,PASIR PANJANG ROAD,14,2800,2.55
MIMOSA PARK,MIMOSA CRESCENT,14,2800,2.55
LANDED HOUSING DEVELOPMENT,CARPMAEL ROAD,12,2800,2.55
GALAXY TOWERS,ONAN ROAD,14,2800,2.55
BINJAI CREST,JALAN KAMPONG CHANTEK,19,2800,2.55
QUINTERRA,HOLLAND ROAD,11,2800,2.55
LANDED HOUSING DEVELOPMENT,JALAN KETUMBIT,27,2800,2.55
SHANGRI-LA RESIDENCES,LADY HILL ROAD,15,2800,2.55
HILLVIEW PARK,HILLVIEW AVENUE,05,2800,2.55
LANDED HOUSING DEVELOPMENT,BARKER ROAD,19,2300,2.56
WATERTOWN,PUNGGOL CENTRAL,14,2300,2.56
HERITAGE EAST,EAST COAST ROAD,14,2300,2.56
LANDED HOUSING DEVELOPMENT,JALAN REMAJA,19,2050,2.56
NASSIM WOODS,NASSIM HILL,19,2050,2.56
PARC CENTENNIAL,KAMPONG JAVA ROAD,13,2300,2.56
CHARLESTON,SHANGHAI ROAD,16,2300,2.56
THE HERMITAGE,SARKIES ROAD,16,2300,2.56
MENDON SPRING,PASIR PANJANG ROAD,16,2300,2.56
NIM GARDENS,NIM ROAD,09,4100,2.56
CARLYX GREEN,CARLISLE ROAD,10,3600,2.57
LANDED HOUSING DEVELOPMENT,PORTCHESTER AVENUE,16,1800,2.57
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,23,5400,2.57
LANDED HOUSING DEVELOPMENT,KEW LANE,19,3600,2.57
CRESCENDO BUILDING,UPPER EAST COAST ROAD,07,3600,2.57
FUYUEN COURT,LORONG 35 GEYLANG,15,3600,2.57
LANDED HOUSING DEVELOPMENT,CYPRESS AVENUE,14,3100,2.58
GRANDLINK SQUARE,GUILLEMARD ROAD,15,3100,2.58
TELOK MANSION,TELOK KURAU ROAD,17,1550,2.58
THE OLIV,BALMORAL ROAD,11,6200,2.58
THOMSON VALE,THOMSON ROAD,19,3100,2.58
LA QUINTA PARK,CHUAN WALK,08,3100,2.58
CUSCADEN RESIDENCES,CUSCADEN ROAD,11,3100,2.58
WATERVIEW,TAMPINES AVENUE 1,15,4400,2.59
LANDED HOUSING DEVELOPMENT,KEW AVENUE,19,3108,2.59
16 @ AMBER,AMBER ROAD,10,2600,2.6
JERVOIS MEADOWS,JERVOIS ROAD,15,2600,2.6
HILLCREST ARCADIA,ARCADIA ROAD,09,6500,2.6
3@PHILLIPS,PHILLIPS AVENUE,19,2600,2.6
LANDED HOUSING DEVELOPMENT,BILAL LANE,19,2600,2.6
LANDED HOUSING DEVELOPMENT,LORONG MYDIN,21,6500,2.6
GUILIN COURT,LORONG 26 GEYLANG,23,2600,2.6
D'LOTUS,LORONG AMPAS,23,2600,2.6
THE LEGACY,BUKIT TIMAH ROAD,23,2600,2.6
THE BAYCOURT,UPPER EAST COAST ROAD,10,2600,2.6
THE CAPE,AMBER ROAD,09,2600,2.6
LIVINGSTON MANSIONS,LORONG L TELOK KURAU,15,6500,2.6
NON-LANDED HOUSING DEVELOPMENT,LORONG 20 GEYLANG,15,6500,2.6
LIANG SEAH PLACE,LIANG SEAH STREET,19,2600,2.6
LANDED HOUSING DEVELOPMENT,SPRINGSIDE VIEW,11,5200,2.6
TANQUEELAN SUITES,TAN QUEE LAN STREET,15,3900,2.6
